test;4;15.384615384615385%;
тест;3;11.538461538461538%;
3;2;7.6923076923076925%;
file;2;7.6923076923076925%;
program;2;7.6923076923076925%;
2;1;3.8461538461538463%;
It;1;3.8461538461538463%;
count;1;3.8461538461538463%;
for;1;3.8461538461538463%;
in;1;3.8461538461538463%;
new;1;3.8461538461538463%;
s;1;3.8461538461538463%;
specified;1;3.8461538461538463%;
streambuffer;1;3.8461538461538463%;
to;1;3.8461538461538463%;
words;1;3.8461538461538463%;
Тестируем;1;3.8461538461538463%;
тестируем;1;3.8461538461538463%;
